"","continent","location","total_cases","total_deaths","total_deaths_per_million","total_tests_per_thousand","total_vaccinations_per_hundred","icu_patients_per_million","population","population_density","median_age","gdp_per_capita","extreme_poverty","female_smokers","male_smokers","life_expectancy"
"45","Europe","Albania",409,23,8.006,1.08,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"46","Europe","Albania",416,23,8.006,1.137,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"47","Europe","Albania",433,23,8.006,1.227,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"48","Europe","Albania",446,23,8.006,1.308,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"49","Europe","Albania",467,23,8.006,1.375,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"50","Europe","Albania",475,24,8.354,1.457,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"51","Europe","Albania",494,25,8.702,1.545,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"52","Europe","Albania",518,26,9.05,1.639,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"53","Europe","Albania",539,26,9.05,1.727,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"54","Europe","Albania",548,26,9.05,1.807,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"55","Europe","Albania",562,26,9.05,1.888,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"56","Europe","Albania",584,26,9.05,1.969,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"57","Europe","Albania",609,26,9.05,2.053,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"58","Europe","Albania",634,27,9.398,2.141,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"59","Europe","Albania",663,27,9.398,2.224,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"60","Europe","Albania",678,27,9.398,2.314,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"61","Europe","Albania",712,27,9.398,2.4,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"62","Europe","Albania",726,28,9.746,2.492,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"63","Europe","Albania",736,28,9.746,2.566,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"64","Europe","Albania",750,30,10.442,2.659,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"65","Europe","Albania",766,30,10.442,2.753,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"66","Europe","Albania",773,31,10.79,2.831,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"67","Europe","Albania",782,31,10.79,2.917,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"68","Europe","Albania",789,31,10.79,2.976,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"69","Europe","Albania",795,31,10.79,3.045,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"70","Europe","Albania",803,31,10.79,3.093,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"71","Europe","Albania",820,31,10.79,3.187,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"72","Europe","Albania",832,31,10.79,3.276,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"73","Europe","Albania",842,31,10.79,3.372,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"74","Europe","Albania",850,31,10.79,3.455,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"75","Europe","Albania",856,31,10.79,3.533,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"76","Europe","Albania",868,31,10.79,3.592,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"77","Europe","Albania",872,31,10.79,3.634,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"78","Europe","Albania",876,31,10.79,3.718,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"79","Europe","Albania",880,31,10.79,3.804,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"80","Europe","Albania",898,31,10.79,3.871,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"81","Europe","Albania",916,31,10.79,3.947,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"82","Europe","Albania",933,31,10.79,4.053,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"83","Europe","Albania",946,31,10.79,4.144,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"84","Europe","Albania",948,31,10.79,4.202,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"85","Europe","Albania",949,31,10.79,4.264,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"86","Europe","Albania",964,31,10.79,4.329,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"87","Europe","Albania",969,31,10.79,4.4,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"88","Europe","Albania",981,31,10.79,4.46,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"89","Europe","Albania",989,31,10.79,4.53,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"90","Europe","Albania",998,32,11.138,4.581,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"91","Europe","Albania",1004,32,11.138,4.599,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"92","Europe","Albania",1029,33,11.487,4.66,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"93","Europe","Albania",1050,33,11.487,4.751,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"94","Europe","Albania",1076,33,11.487,4.829,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"95","Europe","Albania",1099,33,11.487,4.925,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"96","Europe","Albania",1122,33,11.487,5.005,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"97","Europe","Albania",1137,33,11.487,5.083,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"98","Europe","Albania",1143,33,11.487,5.119,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"99","Europe","Albania",1164,33,11.487,5.203,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"100","Europe","Albania",1184,33,11.487,5.307,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"101","Europe","Albania",1197,33,11.487,5.405,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"102","Europe","Albania",1212,33,11.487,5.461,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"103","Europe","Albania",1232,34,11.835,5.549,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"104","Europe","Albania",1246,34,11.835,5.617,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"105","Europe","Albania",1263,34,11.835,5.652,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"106","Europe","Albania",1299,34,11.835,5.777,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"107","Europe","Albania",1341,34,11.835,5.885,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"108","Europe","Albania",1385,35,12.183,5.987,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"109","Europe","Albania",1416,36,12.531,6.091,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"110","Europe","Albania",1464,36,12.531,6.185,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"111","Europe","Albania",1521,36,12.531,6.311,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"112","Europe","Albania",1590,36,12.531,6.422,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"113","Europe","Albania",1672,37,12.879,6.549,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"114","Europe","Albania",1722,38,13.227,6.665,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"115","Europe","Albania",1788,39,13.575,6.762,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"116","Europe","Albania",1838,42,14.619,6.877,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"117","Europe","Albania",1891,43,14.967,6.988,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"118","Europe","Albania",1962,44,15.315,7.102,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"119","Europe","Albania",1995,44,15.315,7.185,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"120","Europe","Albania",2047,45,15.663,7.3,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"121","Europe","Albania",2114,47,16.36,7.42,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"122","Europe","Albania",2192,49,17.056,7.54,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"123","Europe","Albania",2269,51,17.752,7.68,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"124","Europe","Albania",2330,53,18.448,7.804,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"125","Europe","Albania",2402,55,19.144,7.934,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"126","Europe","Albania",2466,58,20.188,8.063,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"127","Europe","Albania",2535,62,21.581,8.192,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"128","Europe","Albania",2580,65,22.625,8.286,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"129","Europe","Albania",2662,69,24.017,8.414,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"130","Europe","Albania",2752,72,25.061,8.54,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"131","Europe","Albania",2819,74,25.758,8.671,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"132","Europe","Albania",2893,76,26.454,8.807,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"133","Europe","Albania",2964,79,27.498,8.967,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"134","Europe","Albania",3038,81,28.194,9.109,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"135","Europe","Albania",3106,83,28.89,9.247,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
