"","continent","location","total_cases","total_deaths","total_deaths_per_million","total_tests_per_thousand","total_vaccinations_per_hundred","icu_patients_per_million","population","population_density","median_age","gdp_per_capita","extreme_poverty","female_smokers","male_smokers","life_expectancy"
"9129","Asia","Iraq",887291,14535,352.968,201.106,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9130","Asia","Iraq",895622,14572,353.867,202.31,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9131","Asia","Iraq",903439,14606,354.692,203.51,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9132","Asia","Iraq",911376,14641,355.542,204.687,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9133","Asia","Iraq",918155,14678,356.441,205.683,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9134","Asia","Iraq",924946,14713,357.291,206.626,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9135","Asia","Iraq",932899,14757,358.359,NA,0.37,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9136","Asia","Iraq",941078,14796,359.306,208.841,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9137","Asia","Iraq",949050,14836,360.278,209.917,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9138","Asia","Iraq",956860,14885,361.468,211.041,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9139","Asia","Iraq",964435,14915,362.196,212.064,0.48,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9140","Asia","Iraq",970987,14948,362.997,212.92,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9141","Asia","Iraq",977175,14981,363.799,213.833,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9142","Asia","Iraq",984950,15026,364.892,214.849,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9143","Asia","Iraq",993158,15060,365.717,215.912,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9144","Asia","Iraq",1001854,15098,366.64,217.066,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9145","Asia","Iraq",1010304,15128,367.369,218.29,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9146","Asia","Iraq",1018321,15174,368.486,219.41,0.72,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9147","Asia","Iraq",1025288,15217,369.53,220.424,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9148","Asia","Iraq",1031322,15257,370.501,221.388,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9149","Asia","Iraq",1037858,15303,371.618,222.338,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9150","Asia","Iraq",1045010,15348,372.711,223.388,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9151","Asia","Iraq",1051868,15392,373.78,224.5,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9152","Asia","Iraq",1058794,15433,374.775,225.648,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9153","Asia","Iraq",1065199,15465,375.552,226.767,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9154","Asia","Iraq",1070366,15498,376.354,227.696,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
